*Samples in -80ËšC on 2nd shelf labeled 8				
Two boxes labeled 				
*Did not collect hemolymph for Geo-01 through Geo-16			From proteomics:	
	Gender	Stage	Proteomics samples	Category (early/mid/late)
Geo-17	M	2		
Geo-18	F	2		
Geo-19	F	2		
Geo-20	M	2		
Geo-21	F	2		
Geo-22	F	2		
Geo-23	F	2		
Geo-24	F	2		
Geo-25	F	5		
Geo-26	M	1		
Geo-27	M	2		
Geo-28	M	1		
Geo-29	F	1		
Geo-30	F	1		
Geo-31	F	4		
Geo-32	M	2		
Geo-33	M	4		
Geo-34	F	5	yes	mid
Geo-35	F	5	yes	mid
Geo-36	M	2		
Geo-37	F	6		
Geo-38	F	5	yes	mid
Geo-39	F	5		
Geo-40	F	4		
Geo-41	M	3	yes	mid
Geo-42	M	3	yes	mid
Geo-43	M	4		
Geo-44	F	5		
Geo-45	F	5		
Geo-46	M	3	yes	mid
Geo-47	M	3		
Geo-48	F	3		
Geo-49	M	4		
Geo-50	F	6		
Geo-51	F	6	yes	mid
Geo-52	M	5		
Geo-53	M	4		
Geo-54	M	3		
Geo-55	F	3		
Geo-56	M	4		
Geo-57	F	7		
Geo-58	F	5		
Geo-59	M	4		
Geo-60	M	4		
Geo-61	F	7		
Geo-62	M	5		
Geo-63	M	5		
Geo-64	F	3		
Geo-65	M	5	yes	late
Geo-66	F	3		
Geo-67	M	5	yes	late
Geo-68	M	5	yes	late
Geo-69	F	6	yes	late
Geo-70	F	6	yes	late